rank,personName,age,country,source,industries,title,finalWorth,gender,birthDate
69,Dilip Shanghvi,68,India,Pharmaceuticals,['Healthcare'],,26700.0,M,-449798400000
70,Vladimir Lisin,67,Russia,"Steel, transport",['Metals & Mining'],,26600.0,M,-430876800000
71,R. Budi Hartono,83,Indonesia,"Banking, tobacco",['Finance & Investments'],,26500.0,M,-915148800000
71,Susanne Klatten,61,Germany,"BMW, pharmaceuticals",['Automotive'],,26500.0,F,-242352000000
73,"Thomas Frist, Jr. & family",85,United States,Hospitals,['Healthcare'],,26200.0,M,-990576000000
73,Daniel Gilbert,62,United States,Quicken Loans,['Finance & Investments'],,26200.0,M,-251078400000
75,Iris Fontbona & family,81,Chile,Mining,['Metals & Mining'],,25700.0,F,-852076800000
76,Emmanuel Besnier,53,France,Cheese,['Food & Beverage'],,25500.0,M,22464000000
76,Michael Hartono,84,Indonesia,"Banking, tobacco",['Manufacturing'],,25500.0,M,-954633600000
76,Alexey Mordashov & family,58,Russia,"Steel, investments",['Metals & Mining'],,25500.0,M,-134611200000
79,"John Menard, Jr.",84,United States,Home improvement stores,['Fashion & Retail'],Founder,25200.0,M,-944956800000
80,He Xiangjian & family,81,China,Home appliances,['Manufacturing'],,25100.0,M,-864432000000
81,Jack Ma,59,China,E-commerce,['Technology'],,24500.0,M,-167529600000
81,Elaine Marshall & family,81,United States,Koch Industries,['Diversified'],Investor,24500.0,F,-866160000000
83,Autry Stephens,86,United States,Oil,['Energy'],,24300.0,M,-1004140800000
84,Eyal Ofer,73,Monaco,"Real estate, shipping",['Diversified'],,24000.0,M,-618019200000
85,Vladimir Potanin,63,Russia,Metals,['Metals & Mining'],,23700.0,M,-283824000000
86,Gennady Timchenko,71,Russia,"Oil, gas",['Energy'],,23400.0,M,-541036800000
87,Takemitsu Takizaki,78,Japan,Sensors,['Manufacturing'],,23100.0,M,-775094400000
88,Vinod Adani,75,United Arab Emirates,"Infrastructure, commodities",['Diversified'],,23000.0,M,-661910400000
89,Robin Zeng,55,China,Batteries,['Automotive'],,22900.0,M,-31536000000
90,Cyrus Poonawalla,82,India,Vaccines,['Healthcare'],,21300.0,M,-903916800000
91,Andrey Melnichenko & family,52,United Arab Emirates,"Fertilizers, coal",['Metals & Mining'],,21100.0,M,68860800000
92,Diane Hendricks,77,United States,Building supplies,['Construction & Engineering'],Cofounder,20900.0,F,-720662400000
92,Kushal Pal Singh,92,United Kingdom,Real estate,['Real Estate'],,20900.0,M,-1211241600000
94,Vicky Safra & family,71,Switzerland,Banking,['Finance & Investments'],,20600.0,F,-536457600000
94,Eric Schmidt,68,United States,Google,['Technology'],,20600.0,M,-463363200000
94,David Tepper,66,United States,Hedge funds,['Finance & Investments'],President and Founder,20600.0,M,-388368000000
97,Steve Cohen,67,United States,Hedge funds,['Finance & Investments'],Founder,19800.0,M,-427852800000
98,Kumar Birla,56,India,Diversified,['Diversified'],,19700.0,M,-80524800000
99,Rick Cohen & family,71,United States,Warehouse automation,['Technology'],Entrepreneur,19600.0,M,-550281600000
100,Rupert Murdoch & family,93,United States,"Newspapers, TV network",['Media & Entertainment'],Chairman and CEO,19500.0,M,-1224806400000
101,Andrew Forrest & family,62,Australia,Mining,['Metals & Mining'],,19000.0,M,-256262400000
102,Harold Hamm & family,78,United States,Oil & gas,['Energy'],Chairman and CEO,18500.0,M,-759196800000
103,Dustin Moskovitz,39,United States,Facebook,['Technology'],Cofounder,18300.0,M,454032000000
104,Donald Bren,91,United States,Real estate,['Real Estate'],Chairman,18000.0,M,-1187913600000
104,Renata Kellnerova & family,56,Czech Republic,"Finance, telecommunications",['Finance & Investments'],,18000.0,F,-78796800000
104,Michael Platt,56,Switzerland,Hedge funds,['Finance & Investments'],Founder ,18000.0,M,-56505600000
107,Radhakishan Damani,69,India,"Retail, investments",['Fashion & Retail'],,17600.0,M,-473385600000
108,John Fredriksen,79,United Kingdom,Shipping,['Logistics'],Investor,16900.0,M,-786240000000
109,Eric Li,60,China,Automobiles,['Automotive'],,16800.0,M,-207878400000
110,Stefan Persson,76,Sweden,H&M,['Fashion & Retail'],Chairman,16600.0,M,-702000000000
111,James Ratcliffe,71,United Kingdom,Chemicals,['Manufacturing'],,16500.0,M,-536457600000
111,Harry Triguboff,91,Australia,Real estate,['Real Estate'],,16500.0,M,-1162339200000
113,Jorge Paulo Lemann & family,84,Switzerland,Beer,['Food & Beverage'],"Investor, Philanthropist",16400.0,M,-957830400000
113,Lakshmi Mittal,73,United Kingdom,Steel,['Metals & Mining'],,16400.0,M,-616896000000
115,Ravi Jaipuria,69,India,"Soft drinks, fast food",['Food & Beverage'],,16200.0,M,-476323200000
115,Stanley Kroenke,76,United States,"Sports, real estate",['Sports'],,16200.0,M,-707788800000
117,Jan Koum,48,United States,WhatsApp,['Technology'],"CEO, cofounder",16100.0,M,193968000000
118,Karl Albrecht Jr. & family,76,Germany,Supermarkets,['Fashion & Retail'],,15900.0,M,-694310400000
118,Beate Heister,73,,Supermarkets,['Fashion & Retail'],,15900.0,F,-599616000000
120,Idan Ofer,68,United Kingdom,Shipping,['Diversified'],,15800.0,M,-449712000000
121,Nicolas Puech,81,Switzerland,Hermes,['Fashion & Retail'],,15600.0,M,-849657600000
122,Pavel Durov,39,United Arab Emirates,Messaging app,['Technology'],,15500.0,M,466214400000
122,Qin Yinglin,58,China,Pig breeding,['Food & Beverage'],,15500.0,M,-148608000000
124,Ray Dalio,74,United States,Hedge funds,['Finance & Investments'],Founder & CIO Mentor,15400.0,M,-643766400000
125,Philip Anschutz,84,United States,"Energy, sports, entertainment",['Finance & Investments'],,15300.0,M,-947116800000
126,Leonard Lauder,91,United States,Estee Lauder,['Fashion & Retail'],Chairman Emeritus,15100.0,M,-1160956800000
126,Li Xiting,73,China,medical devices,['Healthcare'],,15100.0,M,-599616000000
126,Peter Woo,77,Hong Kong,Real estate,['Real Estate'],,15100.0,M,-736041600000
129,Andreas von Bechtolsheim & family,68,United States,Google,['Technology'],"Cofounder, Chief Development Officer and Chairman",14800.0,M,-449884800000
130,George Kaiser,81,United States,"Oil & gas, banking",['Energy'],Chairman,14600.0,M,-865555200000
131,Wang Chuanfu,58,China,"Batteries, automobiles",['Automotive'],Founder and CEO,14200.0,M,-117849600000
132,Charlene de Carvalho-Heineken & family,69,United Kingdom,Heineken,['Food & Beverage'],,14100.0,F,-489369600000
132,David Duffield,83,United States,Business software,['Technology'],Cofounder,14100.0,M,-923961600000
132,Henry Samueli,69,United States,Semiconductors,['Technology'],"Cofounder, Chief Technology Officer and Chairman",14100.0,M,-482284800000
135,"Theo Albrecht, Jr. & family",73,Germany,"Aldi, Trader Joe's",['Fashion & Retail'],,14000.0,M,-599616000000
135,Leon Black,72,United States,Private equity,['Finance & Investments'],,14000.0,M,-581385600000
137,Jerry Jones & family,81,United States,Dallas Cowboys,['Sports'],President and General Manager,13800.0,M,-858988800000
137,Wang Wei,53,China,Package delivery,['Service'],,13800.0,M,23587200000
139,David Green & family,82,United States,Retail,['Fashion & Retail'],CEO,13700.0,M,-887846400000
140,James Dyson,76,United Kingdom,Vacuums,['Manufacturing'],,13600.0,M,-715392000000
140,David Sun,72,United States,Computer hardware,['Technology'],COO,13600.0,M,-575078400000
140,John Tu,82,United States,Computer hardware,['Technology'],President,13600.0,M,-895881600000
140,Christy Walton,75,United States,Walmart,['Fashion & Retail'],,13600.0,F,-659404800000
144,Dang Yanbao,51,China,Coal,['Metals & Mining'],,13400.0,M,97372800000
144,Aliko Dangote,66,Nigeria,"Cement, sugar",['Manufacturing'],CEO,13400.0,M,-401673600000
144,Ricardo Salinas Pliego & family,68,Mexico,"Retail, media",['Fashion & Retail'],,13400.0,M,-448243200000
144,Alisher Usmanov,70,Uzbekistan,"Steel, telecom, investments",['Metals & Mining'],Founder,13400.0,M,-514771200000
148,Mike Cannon-Brookes,44,Australia,Software,['Technology'],,13300.0,M,311644800000
148,Uday Kotak,65,India,Banking,['Finance & Investments'],,13300.0,M,-340848000000
150,Mikhail Fridman,59,Russia,"Oil, banking, telecom",['Energy'],,13100.0,M,-179798400000
150,Joseph Lau,72,Hong Kong,Real estate,['Real Estate'],,13100.0,M,-582249600000
152,Scott Farquhar,44,Australia,Software,['Technology'],,13000.0,M,314236800000
153,Laurene Powell Jobs & family,60,United States,"Apple, Disney",['Technology'],Founder,12800.0,F,-194227200000
154,Goh Cheng Liang,96,Singapore,Paints,['Manufacturing'],,12700.0,M,-1341705600000
154,George Roberts,80,United States,Private equity,['Finance & Investments'],,12700.0,M,-829958400000
156,David Cheriton,73,United States,Google,['Technology'],Professor,12600.0,M,-592099200000
156,Jeffery Hildebrand,65,United States,Oil,['Energy'],,12600.0,M,-341712000000
156,Georg Stumpf,51,Austria,"Real estate, construction",['Diversified'],,12600.0,M,85276800000
159,Dhanin Chearavanont,84,Thailand,Diversified,['Diversified'],,12500.0,M,-968976000000
159,Anders Holch Povlsen,51,Denmark,Fashion retail,['Fashion & Retail'],,12500.0,M,89683200000
161,Israel Englander,75,United States,Hedge funds,['Finance & Investments'],Founder,12400.0,M,-670723200000
162,Shahid Khan,73,United States,Auto parts,['Automotive'],,12200.0,M,-614044800000
162,Johann Rupert & family,73,South Africa,Luxury goods,['Fashion & Retail'],,12200.0,M,-618105600000
164,Hasso Plattner & family,80,Germany,Software,['Technology'],,12100.0,M,-818812800000
165,Kwong Siu-hing,94,Hong Kong,Real estate,['Real Estate'],,12000.0,F,-1264896000000
165,Azim Premji,78,India,Software services,['Technology'],Founder Chairman,12000.0,M,-771292800000
167,"Henry Nicholas, III.",64,United States,Semiconductors,['Technology'],Cofounder,11900.0,M,-322963200000
168,"Edward Johnson, IV.",59,United States,Fidelity,['Finance & Investments'],,11800.0,M,-161568000000
169,John Doerr,72,United States,Venture capital,['Finance & Investments'],Chairman,11700.0,M,-584150400000
169,Henry Kravis,80,United States,Private equity,['Finance & Investments'],Co-Chair and Co-CEO,11700.0,M,-820108800000
169,Eric Smidt,64,United States,Hardware stores,['Fashion & Retail'],,11700.0,M,-315619200000
172,Lu Xiangyang,61,China,"Automobiles, batteries",['Automotive'],,11600.0,M,-221270400000
173,Andrew Beal,71,United States,"Banks, real estate",['Finance & Investments'],,11500.0,M,-539308800000
173,Jay Y. Lee,55,South Korea,Samsung,['Technology'],,11500.0,M,-48124800000
173,Michael Rubin,51,United States,Online retail,['Fashion & Retail'],,11500.0,M,80524800000
176,Robert Kuok,100,Hong Kong,"Palm oil, shipping, property",['Diversified'],,11400.0,M,-1459209600000
177,Giorgio Armani,89,Italy,Luxury goods,['Fashion & Retail'],,11300.0,M,-1119571200000
177,Jay Chaudhry,64,United States,Security software,['Technology'],,11300.0,M,-326678400000
177,Charoen Sirivadhanabhakdi,79,Thailand,"Alcohol, real estate",['Food & Beverage'],,11300.0,M,-810000000000
180,Brian Armstrong,41,United States,Cryptocurrency,['Finance & Investments'],,11200.0,M,412300800000
180,Ernesto Bertarelli,58,Switzerland,"Biotech, investments",['Healthcare'],,11200.0,M,-134956800000
180,Bubba Cathy,69,United States,Chick-fil-A,['Food & Beverage'],,11200.0,M,-495331200000
180,Dan Cathy,71,United States,Chick-fil-A,['Food & Beverage'],,11200.0,M,-531360000000
180,Trudy Cathy White,68,United States,Chick-fil-A,['Food & Beverage'],,11200.0,F,-443145600000
180,Lui Che Woo,95,Hong Kong,Casinos/hotels,['Gambling & Casinos'],,11200.0,M,-1286064000000
180,Wei Jianjun & family,60,China,Automobiles,['Automotive'],,11200.0,M,-184204800000
180,Sky Xu,40,China,E-commerce,['Fashion & Retail'],,11200.0,M,441763200000
188,Melinda French Gates,59,United States,Microsoft,['Technology'],Cochair,11100.0,F,-169776000000
188,Robert Kraft,82,United States,"Manufacturing, New England Patriots",['Sports'],Chairman & CEO,11100.0,M,-901756800000
190,Brian Chesky,42,United States,Airbnb,['Technology'],CEO and Cofounder,11000.0,M,367891200000
190,Barry Lam,74,Taiwan,Electronics,['Technology'],,11000.0,M,-652924800000
190,Donald Newhouse,94,United States,Media,['Media & Entertainment'],,11000.0,M,-1275177600000
190,Mikhail Prokhorov,58,Switzerland,Investments,['Finance & Investments'],,11000.0,M,-147225600000
190,Manuel Villar,74,Philippines,Real estate,['Real Estate'],,11000.0,M,-632793600000
195,Jiang Rensheng & family,70,China,Vaccines,['Healthcare'],,10900.0,M,-512265600000
195,Lei Jun,54,China,Smartphones,['Technology'],Founder and CEO,10900.0,M,-1382400000
195,Georg Schaeffler,59,Germany,Auto parts,['Automotive'],,10900.0,M,-164160000000
195,Marcel Herrmann Telles & family,74,Brazil,Beer,['Food & Beverage'],,10900.0,M,-631152000000
199,David Velez & family,42,Brazil,Fintech,['Finance & Investments'],,10800.0,M,370828800000
200,Suleiman Kerimov & family,58,Russia,Gold,['Finance & Investments'],,10700.0,M,-120182400000
200,Sarath Ratanavadi,58,Thailand,Energy,['Energy'],,10700.0,M,-141177600000
200,Patrick Ryan,86,United States,Insurance,['Finance & Investments'],Chairman and CEO,10700.0,M,-1029801600000
203,Marc Benioff,59,United States,Business software,['Technology'],Chairman and CEO,10600.0,M,-166233600000
203,Nathan Blecharczyk,40,United States,Airbnb,['Technology'],,10600.0,M,424137600000
203,Carl Cook,61,United States,Medical devices,['Healthcare'],,10600.0,M,-232588800000
203,Huang Shilin,57,China,Batteries,['Automotive'],,10600.0,M,-94694400000
203,Friedhelm Loh,77,Germany,Manufacturing,['Manufacturing'],,10600.0,M,-737856000000
203,Anthony Pratt,63,Australia,Manufacturing,['Manufacturing'],,10600.0,M,-306892800000
203,Viktor Rashnikov,75,Russia,Steel,['Manufacturing'],,10600.0,M,-669600000000
210,Leonid Fedun,67,Monaco,Oil,['Energy'],,10500.0,M,-433641600000
210,Li Shuirong & family,67,China,Petrochemicals,['Manufacturing'],,10500.0,M,-426124800000
210,Antony Ressler,63,United States,Finance,['Finance & Investments'],,10500.0,M,-290995200000
213,Alexander Gerko,44,United Kingdom,Trading,['Finance & Investments'],,10400.0,M,313027200000
213,Graeme Hart,68,New Zealand,Packaging,['Finance & Investments'],,10400.0,M,-459907200000
213,Mangal Prabhat Lodha,68,India,Real estate,['Real Estate'],,10400.0,M,-444528000000
216,Bernard Marcus,94,United States,Home Depot,['Fashion & Retail'],"Co-founder, ex chairman of the board",10300.0,M,-1282521600000
216,Yu Yong,63,China,Mining,['Finance & Investments'],,10300.0,M,-279072000000
218,Antonia Ax:son Johnson & family,80,Sweden,Diversified,['Diversified'],,10200.0,F,-830649600000
218,Gong Hongjia & family,59,Hong Kong,Video surveillance,['Finance & Investments'],,10200.0,M,-157766400000
218,Judy Love & family,86,United States,Gas stations,['Fashion & Retail'],,10200.0,F,-1026950400000
221,James Goodnight,81,United States,Software,['Technology'],CEO,10100.0,M,-851644800000
221,Nancy Walton Laurie,72,United States,Walmart,['Fashion & Retail'],,10100.0,F,-588038400000
221,Stephen Ross,83,United States,Real estate,['Real Estate'],,10100.0,M,-935539200000
224,Vincent Bolloré & family,72,France,Investments,['Finance & Investments'],,10000.0,M,-560217600000
224,Ann Walton Kroenke,75,United States,Walmart,['Fashion & Retail'],,10000.0,F,-663897600000
224,Liu Yongxing,75,China,Diversified,['Service'],Chairman,10000.0,M,-681177600000
224,Enrique Razon Jr.,64,Philippines,Ports,['Logistics'],,10000.0,M,-310262400000
228,Mat Ishbia,44,United States,Mortgage lender,['Finance & Investments'],,9900.0,M,315964800000
228,Elizabeth Johnson,60,United States,Fidelity,['Finance & Investments'],,9900.0,F,-210038400000
228,Shapoor Mistry,59,India,Diversified,['Diversified'],,9900.0,M,-167875200000
228,Xavier Niel,56,France,"Internet, telecom",['Telecom'],,9900.0,M,-74304000000
232,Viatcheslav Kantor,70,Israel,"Fertilizer, real estate",['Manufacturing'],,9800.0,M,-514857600000
232,John Malone,83,United States,Cable television,['Media & Entertainment'],,9800.0,M,-909532800000
232,Charles Schwab,86,United States,Discount brokerage,['Finance & Investments'],Chairman and Founder,9800.0,M,-1023321600000
232,Andreas Struengmann & family,74,Germany,Pharmaceuticals,['Healthcare'],,9800.0,M,-627177600000
232,Thomas Struengmann & family,74,Germany,Pharmaceuticals,['Healthcare'],,9800.0,M,-627177600000
237,Roman Abramovich & family,57,Russia,"Steel, investments",['Diversified'],,9700.0,M,-100656000000
237,Jack Dangermond,78,United States,Mapping software,['Technology'],,9700.0,M,-771379200000
237,Joe Gebbia,42,United States,Airbnb,['Technology'],,9700.0,M,367200000000
237,Michael Kim,60,South Korea,Private equity,['Finance & Investments'],,9700.0,M,-197337600000
237,Harry Stine,82,United States,Agriculture,['Food & Beverage'],,9700.0,M,-886377600000
242,Marijke Mars,59,United States,"Candy, pet food",['Food & Beverage'],,9600.0,F,-171331200000
242,Pamela Mars,63,United States,"Candy, pet food",['Food & Beverage'],,9600.0,F,-297216000000
242,Valerie Mars,65,United States,"Candy, pet food",['Food & Beverage'],,9600.0,F,-344995200000
242,Victoria Mars,67,United States,"Candy, pet food",['Food & Beverage'],,9600.0,F,-411696000000
242,Carrie Perrodo & family,73,United Kingdom,Oil,['Energy'],Philanthropist,9600.0,F,-599616000000
242,David Reuben,85,United Kingdom,"Investments, real estate",['Real Estate'],,9600.0,M,-988848000000
242,Simon Reuben,82,Monaco,"Real estate, investments",['Diversified'],,9600.0,M,-904780800000
249,Denise Coates,56,United Kingdom,Online gambling,['Gambling & Casinos'],,9500.0,F,-71539200000
249,Christopher Hohn,57,United Kingdom,Hedge funds,['Finance & Investments'],Investor,9500.0,M,-100396800000
249,Karel Komarek,55,Switzerland,"Oil and gas, IT, lotteries",['Gambling & Casinos'],,9500.0,M,-25228800000
249,John Morris,76,United States,Sporting goods retail,['Fashion & Retail'],,9500.0,M,-687571200000
249,Nicky Oppenheimer & family,78,South Africa,Diamonds,['Metals & Mining'],,9500.0,M,-775267200000
249,Pankaj Patel,71,India,Pharmaceuticals,['Healthcare'],,9500.0,M,-529804800000
249,Xu Hang,61,China,Medical devices,['Healthcare'],,9500.0,M,-240278400000
256,Laurent Dassault,70,France,Diversified,['Diversified'],,9400.0,M,-520300800000
256,Thierry Dassault,67,France,Diversified,['Diversified'],,9400.0,M,-402969600000
256,Tilman Fertitta,66,United States,"Entertainment, Houston Rockets",['Food & Beverage'],Chairman and CEO,9400.0,M,-395107200000
256,Marie-Hélène Habert-Dassault,58,France,Diversified,['Diversified'],,9400.0,F,-149731200000
256,Daniel Kretinsky,48,Czech Republic,"Energy, investments",['Energy'],,9400.0,M,174096000000
256,Ludwig Merckle,59,Germany,Pharmaceuticals,['Finance & Investments'],,9400.0,M,-157766400000
256,Zhang Zhidong,52,China,Internet media,['Technology'],,9400.0,M,63072000000
263,Andrei Guryev & family,64,Russia,Fertilizers,['Manufacturing'],,9300.0,M,-308448000000
263,Sandra Ortega Mera,55,Spain,Zara,['Fashion & Retail'],,9300.0,F,-46742400000
263,Jim Pattison,95,Canada,Diversified,['Diversified'],"Founder, Chairman and CEO",9300.0,M,-1301788800000
266,Giancarlo Devasini,59,France,Cryptocurrency,['Finance & Investments'],,9200.0,M,-179020800000
266,Sunil Mittal,66,India,Telecom,['Telecom'],,9200.0,M,-384739200000
266,Robert F. Smith,61,United States,Private equity,['Finance & Investments'],Investor,9200.0,M,-223603200000
266,Francine von Finck & family,79,Switzerland,Investments,['Finance & Investments'],,9200.0,F,-788918400000
270,Tom Gores,59,United States,Private equity,['Finance & Investments'],,9100.0,M,-171072000000
270,Todd Graves,52,United States,Raising Cane's,['Food & Beverage'],,9100.0,M,67392000000
272,Dmitri Bukhman,38,United Kingdom,Online games,['Media & Entertainment'],,9000.0,M,486000000000
272,Igor Bukhman,42,United Kingdom,Online games,['Media & Entertainment'],,9000.0,M,386208000000
272,Ralph Lauren,84,United States,Apparel,['Fashion & Retail'],Chairman ,9000.0,M,-953596800000
272,Ramzi Musallam,55,United States,Private equity,['Finance & Investments'],,9000.0,M,-40694400000
272,J. Christopher Reyes,70,United States,Food distribution,['Food & Beverage'],Co-Chairman,9000.0,M,-505180800000
272,Jude Reyes,68,United States,Food distribution,['Food & Beverage'],Co-Chairman,9000.0,M,-451094400000
